name,operator,address,latitude,longitude,capacity_mw,capacity_type,capacity_source,status,connection_voltage,verification_status,last_updated,report_url
MAF War Gaming Simulation Center,,,3.1743861,101.7293923,,,OpenStreetMap node/10939660647,,,rejected,2026-08-26,
Server Room B2,,,5.4057625,103.0913249,,,OpenStreetMap node/7001771562,,,rejected,2026-08-26,
Keppel DC Johor 1,Keppel Data Centres,"Sedenak Tech Park, 82100 Johor",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/keppel-dc-johor-1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
TM Nxera Iskandar Puteri,TM Nxera,"Jln Kampung Lalang, 79100 Iskandar Puteri",,,200,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/tm-nxera-iskandar-puteri/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Equinix JH1,Equinix,"No.2 & 6, Jalan Teknologi Perintis 1/3, Taman Teknologi, 79200 Johor",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/equinix-jh1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Equinix JH2,Equinix,"PTD 5225 Jl. Teknologi Perintis 2/1, 79200 Gelang Patah",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/equinix-jh2/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
GDC Sedenak (SDK1),Global Data Centre (GDC),"Sedenak Tech Park, Persiaran Digital Perdana, 82100 Kulai",,,21,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/gdc-johor/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
GDC Sedenak (SDK2),Global Data Centre (GDC),"Sedenak Tech Park, Persiaran Digital Perdana, 82100 Kulai",,,25,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/gdc-sedenak-sdk2/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
STT Johor 1,ST Telemedia Global Data Centres,"Nusa Cemerlang Industrial Park, 81550 Gelang Patah",,,120,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/stt-johor-1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
STT Johor Campus,ST Telemedia Global Data Centres,"Nusa Cemerlang Industrial Park, 81550 Gelang Patah",,,120,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/stt-johor-campus/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
Racks Central RCJM1,Racks Central Pte Ltd,"Iskandar Halal Park, Jl Felda Cahaya Baru, 81700 Pasir Gudang",,,90,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/racks-central-rcjm1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Racks Central RCJM2A,Racks Central Pte Ltd,"Iskandar Halal Park, Jl Felda Cahaya Baru, 81700 Pasir Gudang",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/racks-central-rcjm2a/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Racks Central RCJM2B,Racks Central Pte Ltd,"Iskandar Halal Park, Jl Felda Cahaya Baru, 81700 Pasir Gudang",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/racks-central-rcjm2b/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Racks Central RCJM3,Racks Central Pte Ltd,"Iskandar Halal Park, Jl Felda Cahaya Baru, 81700 Pasir Gudang",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/racks-central-rcjm3/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Racks Central Johor Campus,Racks Central Pte Ltd,"Iskandar Halal Park, Jl Felda Cahaya Baru, 81700 Pasir Gudang",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/racks-central-johor-campus/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Epoch Digital EMY1,Epoch Digital,"Nusa Cemerlang Industrial Park, 81550 Gelang Patah",,,120,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/epoch-digital-emy1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Open DC - JB1,Open DC,"Level 16, Menara MSC Cyberport, No. 5, Jalan Bukit Meldrum, Tanjung Puteri, 80300 Johor Bahru",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/open-dc-jb1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Open DC - JB2,Open DC,"65, Jalan Trus, 80000 Johor Bahru",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/open-dc-jb2/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
BrightRay MY-01,BRIGHTRAY,"Sedenak Tech Park, 82100 Johor",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/brightray-my-01/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Princeton Digital JH1,Princeton Digital Group,"Jl. Digital Utama, 81000 Bukit Batu",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/princeton-digital-jh1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
Princeton Digital JH2,Princeton Digital Group,"Eco Business Park at Mukim Senai, 81400 Kulai",,,300,estimated,"https://www.datacentermap.com/malaysia/johor-bahru/princeton-digital-jh2/ (listing, fetched 2026-08-26)",planned,,needs review,2026-08-26,
AirTrunk Johor Bahru - JHB1,AirTrunk,"within Johor Bahru, 79200 Johor Bahru",,,,,"https://www.datacentermap.com/malaysia/johor-bahru/airtrunk-johor-bahru-jhb1/ (listing, fetched 2026-08-26)",,,needs review,2026-08-26,
